"box","lat","lon","mnasc","area","count","lat1","lat2","lat3","lat4","lon1","lon2","lon3","lon4","arean","part","latmin","lonmin","ea","nfish","nfish.i","nfish.m","mass","mass.i","mass.m","reg","old.area","old.arean","area.part"
462,66.375,-26.75,0,623.649422033824,18,66.25,66.25,66.5,66.5,-27,-26.5,-26.5,-27,181.827077968895,1,15,30,0,0,0,0,0,0,0,1,623.649422033824,181.827077968895,1
463,66.375,-26.25,5.66923076923077,623.64942203382,143,66.25,66.25,66.5,66.5,-26.5,-26,-26,-26.5,181.827077968894,0.67,15,30,690.649175617384,10779892.443961,9486305.3506857,1293587.09327532,99.3625806129663,77.660501144784,21.7020794681823,1,623.64942203382,181.827077968894,1
464,66.375,-25.75,489.711363636364,623.649422033828,132,66.25,66.25,66.5,66.5,-26,-25.5,-25.5,-26,181.827077968896,0.92,15,30,81919.3633943103,1278625903.9244,1125190795.45348,153435108.470929,11785.6064068328,9211.4767370522,2574.12966978061,1,623.649422033828,181.827077968896,1
511,66.625,-26.75,0,617.448978636579,190,66.5,66.5,66.75,66.75,-27,-26.5,-26.5,-27,180.019317927434,1,15,30,0,0,0,0,0,0,0,1,617.448978636579,180.019317927434,1
512,66.625,-26.25,60.3119318181818,617.448978636575,176,66.5,66.5,66.75,66.75,-26.5,-26,-26,-26.5,180.019317927433,1,15,30,10857.3128287949,169464713.282576,149128947.688667,20335765.5939091,1562.02404821082,1220.85768743034,341.166360780482,1,617.448978636575,180.019317927433,1
513,66.625,-25.75,442.9875,617.448978636583,152,66.5,66.5,66.75,66.75,-26,-25.5,-25.5,-26,180.019317927435,1,15,30,79746.3076003798,1244708093.60869,1095343122.37564,149364971.233042,11472.9723820287,8967.1260479757,2505.84633405301,1,617.448978636583,180.019317927435,1
514,66.625,-25.25,494.610526315789,617.448978636575,247,66.5,66.5,66.75,66.75,-25.5,-25,-25,-25.5,180.019317927433,0.96,15,30,85477.8716036133,1334168337.20531,1174068136.74067,160100200.464637,12297.5632313562,9611.61553489446,2685.94769646172,1,617.448978636575,180.019317927433,1
560,66.875,-26.75,0,611.236028769009,8,66.75,66.75,67,67,-27,-26.5,-26.5,-27,178.207911582659,1,15,30,0,0,0,0,0,0,0,1,611.236028769009,178.207911582659,1
561,66.875,-26.25,169.9,611.236028769005,140,66.75,66.75,67,67,-26.5,-26,-26,-26.5,178.207911582658,0.74,15,30,22405.3678916413,349710771.497504,307745478.917803,41965292.5797005,3223.42406520109,2519.38634002232,704.037725178775,1,611.236028769005,178.207911582658,1
610,67.125,-26.25,0,605.010694250661,1,67,67,67.25,67.25,-26.5,-26,-26,-26.5,176.392894451466,1,15,30,0,0,0,0,0,0,0,1,605.010694250661,176.392894451466,1
562,66.875,-25.75,70.5350157728707,611.236028769013,317,66.75,66.75,67,67,-26,-25.5,-25.5,-26,178.20791158266,1,15,30,12569.8978543333,138831561.533521,15965629.5763549,122865931.957166,2662.55333655833,173.886530820735,2488.66680573759,2,611.236028769013,178.20791158266,1
563,66.875,-25.25,1059.80812182741,611.236028769005,197,66.75,66.75,67,67,-25.5,-25,-25,-25.5,178.207911582658,1,15,30,188866.192069202,2085982612.56499,239888000.444974,1846094612.12002,40005.6003385552,2612.69322223765,37392.9071163176,2,611.236028769005,178.207911582658,1
611,67.125,-25.75,28.621875,605.010694250668,32,67,67,67.25,67.25,-26,-25.5,-25.5,-26,176.392894451468,0.36,15,30,1817.53033531612,20074194.516982,2308532.36945293,17765662.1475291,384.988924705036,25.14292863252,359.845996072516,2,605.010694250668,176.392894451468,1
612,67.125,-25.25,369.123837209302,605.010694250661,172,67,67,67.25,67.25,-25.5,-25,-25,-25.5,176.392894451466,1,15,30,65110.8220563805,719133695.720711,82700375.0078818,636433320.71283,13791.7617566405,900.714953890191,12891.0468027503,2,605.010694250661,176.392894451466,1
564,66.875,-24.75,104.837106918239,611.236028769009,159,66.75,66.75,67,67,-25,-24.5,-24.5,-25,178.207911582659,0.97,15,30,18122.3178238593,241031081.471734,137387716.438888,103643365.032845,3203.50553886778,1253.51588354516,1949.98965532262,3,611.236028769009,178.207911582659,1
565,66.875,-24.25,733.236842105263,611.236028769009,38,66.75,66.75,67,67,-24.5,-24,-24,-24.5,178.207911582659,0.45,15,30,58800.8728471693,782065413.022146,445777285.422623,336288127.599523,10394.3062740113,4067.24066957949,6327.06560443176,3,611.236028769009,178.207911582659,1
613,67.125,-24.75,491.495882352941,605.010694250664,170,67,67,67.25,67.25,-25,-24.5,-24.5,-25,176.392894451467,1,15,30,86696.381299213,1153082224.21325,657256867.801551,495825356.411697,15325.4313488624,5996.76553853239,9328.66581033002,3,605.010694250664,176.392894451467,1
614,67.125,-24.25,231.449171270718,605.010694250664,181,67,67,67.25,67.25,-24.5,-24,-24,-24.5,176.392894451467,1,15,30,40825.9892388353,542995241.22871,309507287.500365,233487953.728345,7216.86287193219,2823.92277134368,4392.94010058851,3,605.010694250664,176.392894451467,1
615,67.125,-23.75,172.741025641026,605.010694250661,78,67,67,67.25,67.25,-24,-23.5,-23.5,-24,176.392894451466,0.71,15,30,21633.9055473681,287736022.578431,164009532.869705,123726489.708725,3824.25343832631,1496.41146846229,2327.84196986402,3,605.010694250661,176.392894451466,1
661,67.375,-25.25,357.584210526316,598.773097266486,171,67.25,67.25,67.5,67.5,-25.5,-25,-25,-25.5,174.574302157286,0.97,15,30,60552.2635946429,805359321.121879,459054813.039471,346304508.082408,10703.9018795395,4188.38389979929,6515.51797974023,3,598.773097266486,174.574302157286,1
662,67.375,-24.75,31.6219178082192,598.77309726649,146,67.25,67.25,67.5,67.5,-25,-24.5,-24.5,-25,174.574302157288,1,15,30,5520.37423424497,73422273.2843231,41850695.7720642,31571577.512259,975.843686658213,381.842811333382,594.000875324831,3,598.77309726649,174.574302157288,1
